SampleID,id_fixed,sample_input_complete,SampleName,StudyID,ProjectID,Biosample,Accession_Number,GOLD_analysis_projectID,GOLD_sequencing_projectID,JGI_study,JGI_biosample,sample_type,sequencing_type,has_paired_data,amplicon_target,F_primer,R_primer,geo_loc_name,GAZ_id,lat,lon,collection_date,NOAA_Site,env_canada_site,env_Kenya_site,env_broad_scale,env_local_scale,env_medium,keywords,depth,depth_sediment,depth_at_sampling_location,size_frac_low,size_frac_up,pH,temp,sulfate,sulfide,calcium,potassium,magnesium,silicate,diss_oxygen,conduc,secchi,turbidity,part_microcyst,diss_microcyst,ext_phyco,ext_microcyst,ext_Anatox,chlorophyll,Phosphate,tot_phos,diss_phosp,soluble_react_phosp,ammonium,ammonia,nitrate,Nitrate_Nitrite,nitrite,urea,tot_nit,part_org_nitro,part_org_carb,diss_org_carb,Col_DOM,H2O2,suspend_part_matter,suspend_vol_solid,microcystis_count,planktothrix_count,anabaena_D_count,cylindrospermopsis_count,ice_cover,chlorophyll_fluoresence,samp_collect_device,modified_or_experimental,is_isolate,is_blank_neg_control,is_mock_community_or_pos_control,samp_vol_we_dna_ext,filtration_duration,qPCR_total,qPCR_mcyE,qPCR_sxtA,green_algae,bluegreen,diatoms,crypto,tot_microcyst_lcmsms,attenuation,transmission,par,sky,wave_height,wind_speed,atmospheric_temp,sortchem,phyco_fluoresence,salinity,particulate_cyl,orp,replicate_id,cyano_sonde,total_sonde,amended_site_name,station_description,host,host_disease,bco_dmo_dataset,Notes,date,date_same_year,year
samp_2041,TRUE,NA,7-18-16 WLE 2,set_41,PRJNA1190886,SAMN45060125,SRR31514807,NA,NA,NA,NA,metagenome,NA,FALSE,NA,NA,NA,Lake Erie,GAZ:00003932,41.7628,-83.3321,2016-07-18T08:17:00Z,WE2,NA,NA,Eutrophic Lake [ENVO:01000548],Lake [ENVO:00000020],water [ENVO:00002006],HABs,4.31-0.5,NA,5.31,NA,3,NA,24.8,NA,NA,NA,NA,NA,NA,8.1,396.8,0.5,6.67,2.53,0.55,7.31,NA,NA,60.59,NA,78,9.7,1.3,NA,11.5,NA,2.154,NA,5.44,NA,0.36,2.27,4.77,1.64,NA,15.27,4.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,33.6,141,cloudy,1.18,11.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-1,2016-07-18T08:17:00Z,2000-07-18T08:17:00Z,2016
samp_2042,TRUE,NA,7-18-16 WLE 4,set_41,PRJNA1190886,SAMN45060126,SRR31514654,NA,NA,NA,NA,metagenome,NA,FALSE,NA,NA,NA,Lake Erie,GAZ:00003932,41.826,-83.1947,2016-07-18T12:23:00Z,WE4,NA,NA,Eutrophic Lake [ENVO:01000548],Lake [ENVO:00000020],water [ENVO:00002006],HABs,6.57-0.5,NA,7.57,NA,3,NA,24.9,NA,NA,NA,NA,NA,NA,7.13,263.2,2.3,1.41,0.1,0.1,0.67,NA,NA,4.42,NA,20.3,5,0.6,NA,56.5,NA,0.37,NA,0.9,NA,0.07,0.4,2.37,0.42,NA,2.18,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,62.4,704,mostly cloudy,1.85,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-2,2016-07-18T12:23:00Z,2000-07-18T12:23:00Z,2016
samp_2043,TRUE,NA,7-18-16 WLE 8,set_41,PRJNA1190886,SAMN45060127,SRR31514643,NA,NA,NA,NA,metagenome,NA,FALSE,NA,NA,NA,Lake Erie,GAZ:00003932,41.8338,-83.3511,2016-07-18T13:12:00Z,WE8,NA,NA,Eutrophic Lake [ENVO:01000548],Lake [ENVO:00000020],water [ENVO:00002006],HABs,3.79-0.5,NA,4.79,NA,3,NA,25.2,NA,NA,NA,NA,NA,NA,6.91,305.6,1.3,6.93,2.82,0.43,5.15,NA,NA,16.28,NA,49.9,8.7,1.4,NA,40.8,NA,0.62,NA,0.9,NA,0.21,1.24,3.06,0.78,NA,4.23,3.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,60.4,1368,sunny,0.7,17.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-3,2016-07-18T13:12:00Z,2000-07-18T13:12:00Z,2016
samp_2044,TRUE,NA,7-18-16 WLE 12,set_41,PRJNA1190886,SAMN45060128,SRR31514728,NA,NA,NA,NA,metagenome,NA,FALSE,NA,NA,NA,Lake Erie,GAZ:00003932,41.7041,-83.2565,2016-07-18T09:50:00Z,WE12,NA,NA,Eutrophic Lake [ENVO:01000548],Lake [ENVO:00000020],water [ENVO:00002006],HABs,5.66-0.5,NA,6.66,NA,3,NA,24.5,NA,NA,NA,NA,NA,NA,7.93,243.6,0.8,6.44,0.19,0.1,0.24,NA,NA,7.93,NA,44.7,4.6,0.7,NA,8.1,NA,0.218,NA,0.9,NA,0.09,0.58,2.05,0.39,NA,7.5,1.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,35.5,367,cloudy,1.59,9.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-4,2016-07-18T09:50:00Z,2000-07-18T09:50:00Z,2016
samp_2045,TRUE,NA,8-1-16 WLE 2,set_41,PRJNA1190886,SAMN45060129,SRR31514716,NA,NA,NA,NA,metagenome,NA,FALSE,NA,NA,NA,Lake Erie,GAZ:00003932,41.7649,-83.3301,2016-08-01T08:25:00Z,WE2,NA,NA,Eutrophic Lake [ENVO:01000548],Lake [ENVO:00000020],water [ENVO:00002006],HABs,4.45-0.5,NA,5.45,NA,3,NA,26.1,NA,NA,NA,NA,NA,NA,6.46,287.6,0.8,6.62,4.03,0.33,4.2,NA,NA,22.69,NA,71,7.7,0.7,NA,9.3,NA,0.228,NA,3.46,NA,0.39,2.16,3.29,0.61,NA,8.68,3.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,43.4,540,sunny,0.67,8.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-5,2016-08-01T08:25:00Z,2000-08-01T08:25:00Z,2016
samp_2046,TRUE,NA,8-1-16 WLE 4,set_41,PRJNA1190886,SAMN45060130,SRR31514678,NA,NA,NA,NA,metagenome,NA,FALSE,NA,NA,NA,Lake Erie,GAZ:00003932,41.8268,-83.193,2016-08-01T12:35:00Z,WE4,NA,NA,Eutrophic Lake [ENVO:01000548],Lake [ENVO:00000020],water [ENVO:00002006],HABs,7.34-0.5,NA,8.34,NA,3,NA,26.3,NA,NA,NA,NA,NA,NA,7.22,216.8,1.5,1.52,0.18,0.14,0.25,NA,NA,4.22,NA,10.6,2.6,0.6,NA,12.2,NA,0.15,NA,0.9,NA,0.09,0.51,2.03,0.13,NA,2.7,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,69,1811,sunny,0.7,6.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-6,2016-08-01T12:35:00Z,2000-08-01T12:35:00Z,2016
samp_2047,TRUE,NA,8-1-16 WLE 8,set_41,PRJNA1190886,SAMN45060131,SRR31514666,NA,NA,NA,NA,metagenome,NA,FALSE,NA,NA,NA,Lake Erie,GAZ:00003932,41.8346,-83.3565,2016-08-01T13:16:00Z,WE8,NA,NA,Eutrophic Lake [ENVO:01000548],Lake [ENVO:00000020],water [ENVO:00002006],HABs,3.91-0.5,NA,4.91,NA,3,NA,27.2,NA,NA,NA,NA,NA,NA,7.72,266.2,1.0,3.81,1.44,0.37,6.05,NA,NA,15.3,NA,43,4.5,0.8,NA,11.5,NA,0.13,NA,3.58,NA,0.27,1.68,2.85,0.16,NA,5.48,4.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,56.8,1094,sunny,0.69,5.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-7,2016-08-01T13:16:00Z,2000-08-01T13:16:00Z,2016
samp_2048,TRUE,NA,8-1-16 WLE 12,set_41,PRJNA1190886,SAMN45060132,SRR31514800,NA,NA,NA,NA,metagenome,NA,FALSE,NA,NA,NA,Lake Erie,GAZ:00003932,41.7048,-83.2544,2016-08-01T10:06:00Z,WE12,NA,NA,Eutrophic Lake [ENVO:01000548],Lake [ENVO:00000020],water [ENVO:00002006],HABs,5.62-0.5,NA,6.62,NA,3,NA,26.2,NA,NA,NA,NA,NA,NA,7.14,287.3,0.8,8.87,2.56,0.24,4.83,NA,NA,25.53,NA,71.7,5.8,0.6,NA,1.7,NA,0.375,NA,2.83,NA,0.36,1.98,2.98,0.65,NA,9.72,6.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,28.9,784,mostly cloudy,0.67,8.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-8,2016-08-01T10:06:00Z,2000-08-01T10:06:00Z,2016
samp_2049,TRUE,NA,8-15-16 WLE 2,set_41,PRJNA1190886,SAMN45060133,SRR31514798,NA,NA,NA,NA,metagenome,NA,FALSE,NA,NA,NA,Lake Erie,GAZ:00003932,41.762,-83.33,2016-08-15T08:35:00Z,WE2,NA,NA,Eutrophic Lake [ENVO:01000548],Lake [ENVO:00000020],water [ENVO:00002006],HABs,4.52-0.5,NA,5.52,NA,3,NA,26.4,NA,NA,NA,NA,NA,NA,7.87,259.1,0.2,7.3,0.74,0.14,2.24,NA,NA,19.64,NA,69.4,5.9,3.1,NA,13.8,NA,0.002,NA,1.91,NA,0.2,1.19,2.67,0.5,NA,7.67,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,32.1,135,cloudy,0.43,5.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-9,2016-08-15T08:35:00Z,2000-08-15T08:35:00Z,2016
samp_2050,TRUE,NA,8-15-16 WLE 4,set_41,PRJNA1190886,SAMN45060134,SRR31514806,NA,NA,NA,NA,metagenome,NA,FALSE,NA,NA,NA,Lake Erie,GAZ:00003932,41.827,-83.193,2016-08-15T13:10:00Z,WE4,NA,NA,Eutrophic Lake [ENVO:01000548],Lake [ENVO:00000020],water [ENVO:00002006],HABs,7.6-0.5,NA,8.6,NA,3,NA,26.5,NA,NA,NA,NA,NA,NA,6.25,228.3,1.5,2.37,1.03,0.11,1.21,NA,NA,12.69,NA,33.3,2.8,1.8,NA,18.9,NA,0.122,NA,2.05,NA,0.15,0.96,2.26,0.24,NA,2.63,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,62.1,520,cloudy,0.84,9.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222-SRC-10,2016-08-15T13:10:00Z,2000-08-15T13:10:00Z,2016
